"replicate","tub","light","harvest","fert","label"
4,1,"A","60","R","1-A-60-R:16"
1,2,"A","30","F","2-A-30-F:1"
4,3,"A","30","R","3-A-30-R:8"
2,4,"N","30","F","4-N-30-F:2"
4,5,"N","60","R","5-N-60-R:16"
1,6,"A","90","R","6-A-90-R:21"
2,7,"A","60","F","7-A-60-F:10"
2,8,"A","90","R","8-A-90-R:22"
3,9,"N","30","R","9-N-30-R:7"
1,10,"N","30","R","10-N-30-R:5"
4,11,"A","90","R","11-A-90-R:24"
2,12,"A","60","R","12-A-60-R:14"
4,13,"A","90","F","13-A-90-F:20"
4,14,"N","90","R","14-N-90-R:24"
3,15,"A","30","R","15-A-30-R:7"
4,16,"N","60","F","16-N-60-F:12"
1,17,"N","90","R","17-N-90-R:21"
3,18,"A","60","R","18-A-60-R:15"
4,19,"A","60","F","19-A-60-F:12"
1,20,"A","30","R","20-A-30-R:5"
3,21,"N","60","F","21-N-60-F:11"
3,22,"N","60","R","22-N-60-R:15"
1,23,"N","90","F","23-N-90-F:17"
2,24,"A","30","R","24-A-30-R:6"
2,25,"N","60","F","25-N-60-F:10"
3,26,"A","60","F","26-A-60-F:11"
1,27,"N","60","R","27-N-60-R:13"
1,28,"N","30","F","28-N-30-F:1"
2,29,"N","90","R","29-N-90-R:22"
2,30,"A","90","F","30-A-90-F:18"
2,31,"N","90","F","31-N-90-F:18"
2,32,"A","30","F","32-A-30-F:2"
3,33,"A","30","F","33-A-30-F:3"
3,34,"N","90","R","34-N-90-R:23"
3,35,"N","90","F","35-N-90-F:19"
3,36,"A","90","F","36-A-90-F:19"
4,37,"N","90","F","37-N-90-F:20"
3,38,"N","30","F","38-N-30-F:3"
4,39,"N","30","F","39-N-30-F:4"
3,40,"A","90","R","40-A-90-R:23"
1,41,"N","60","F","41-N-60-F:9"
2,42,"N","60","R","42-N-60-R:14"
2,43,"N","30","R","43-N-30-R:6"
1,44,"A","90","F","44-A-90-F:17"
1,45,"A","60","F","45-A-60-F:9"
1,46,"A","60","R","46-A-60-R:13"
4,47,"A","30","F","47-A-30-F:4"
4,48,"N","30","R","48-N-30-R:8"
